Timestamp,Water Level(In mm),Flagged
2018-09-12 18:36:14,5645.0,False
2018-09-12 18:42:12,5646.0,False
2018-09-12 18:48:10,5642.0,False
2018-09-12 18:53:54,5650.0,False
2018-09-12 19:05:25,5650.0,False
2018-09-12 19:11:09,5648.0,False
2018-09-12 19:16:53,5642.0,False
2018-09-12 19:22:35,5645.0,False
2018-09-12 19:29:07,5638.0,False
2018-09-12 19:34:52,5637.0,False
2018-09-12 19:40:37,5642.0,False
2018-09-12 19:52:06,5641.0,False
2018-09-12 19:57:50,5639.0,False
2018-09-12 20:03:35,5638.0,False
2018-09-12 20:09:20,5642.0,False
2018-09-12 20:15:04,5641.0,False
2018-09-12 20:20:47,5641.0,False
2018-09-12 20:26:30,5644.0,False
2018-09-12 20:32:14,5642.0,False
2018-09-12 20:37:57,5642.0,False
2018-09-12 20:43:42,5641.0,False
2018-09-12 20:49:26,5639.0,False
2018-09-12 20:55:11,5638.0,False
2018-09-12 21:00:58,5643.0,False
2018-09-12 21:06:42,5640.0,False
2018-09-12 21:12:32,5639.0,False
2018-09-12 21:18:15,5640.0,False
2018-09-12 21:23:59,5640.0,False
2018-09-12 21:29:42,5639.0,False
2018-09-12 21:35:25,5642.0,False
2018-09-12 21:41:10,5639.0,False
2018-09-12 21:47:09,5646.0,False
2018-09-12 21:58:39,5648.0,False
2018-09-12 22:04:23,5646.0,False
2018-09-12 22:10:06,5642.0,False
2018-09-12 22:15:51,5641.0,False
2018-09-12 22:21:35,5642.0,False
2018-09-12 22:27:20,5644.0,False
2018-09-12 22:33:03,5643.0,False
2018-09-12 22:38:47,5643.0,False
2018-09-12 22:44:30,5644.0,False
2018-09-12 22:50:13,5643.0,False
2018-09-12 22:56:07,5645.0,False
2018-09-12 23:01:52,5641.0,False
2018-09-12 23:07:36,5643.0,False
2018-09-12 23:13:21,5648.0,False
2018-09-12 23:19:03,5641.0,False
2018-09-12 23:24:46,5641.0,False
2018-09-12 23:30:27,5641.0,False
2018-09-12 23:36:12,5641.0,False
2018-09-12 23:41:58,5641.0,False
2018-09-12 23:53:29,5647.0,False
2018-09-12 23:59:14,5643.0,False
2018-09-13 00:04:57,5642.0,False
2018-09-13 00:10:51,5643.0,False
2018-09-13 00:16:35,5642.0,False
2018-09-13 00:22:20,5640.0,False
2018-09-13 00:28:08,5643.0,False
2018-09-13 00:33:51,5641.0,False
2018-09-13 00:39:36,5639.0,False
2018-09-13 00:45:19,5641.0,False
2018-09-13 00:51:03,5640.0,False
2018-09-13 00:56:48,5641.0,False
2018-09-13 01:02:30,5639.0,False
2018-09-13 01:14:01,5642.0,False
2018-09-13 01:25:29,5639.0,False
2018-09-13 01:31:12,5642.0,False
2018-09-13 01:36:56,5638.0,False
2018-09-13 01:42:41,5644.0,False
2018-09-13 01:48:27,5645.0,False
2018-09-13 01:54:12,5642.0,False
2018-09-13 01:59:56,5642.0,False
2018-09-13 02:05:39,5640.0,False
2018-09-13 02:11:22,5646.0,False
2018-09-13 02:17:05,5665.0,False
2018-09-13 02:23:03,5652.0,False
2018-09-13 02:28:47,5648.0,False
2018-09-13 02:34:30,5644.0,False
2018-09-13 02:40:14,5645.0,False
2018-09-13 02:45:59,5645.0,False
2018-09-13 02:51:42,5647.0,False
2018-09-13 02:58:55,5693.0,False
2018-09-13 03:04:58,5640.0,False
2018-09-13 03:10:42,5654.0,False
2018-09-13 03:16:26,5652.0,False
2018-09-13 03:22:10,5627.0,False
2018-09-13 03:27:53,5614.0,False
2018-09-13 03:33:38,5615.0,False
2018-09-13 03:39:22,5610.0,False
2018-09-13 03:45:05,5612.0,False
2018-09-13 03:50:50,5615.0,False
2018-09-13 03:56:33,5612.0,False
2018-09-13 04:02:16,5611.0,False
2018-09-13 04:08:00,5609.0,False
2018-09-13 04:13:58,5611.0,False
2018-09-13 04:19:42,5612.0,False
2018-09-13 04:25:25,5614.0,False
2018-09-13 04:31:10,5610.0,False
2018-09-13 04:36:52,5615.0,False
2018-09-13 04:42:34,5614.0,False
2018-09-13 04:48:18,5614.0,False
2018-09-13 04:54:02,5613.0,False
2018-09-13 04:59:47,5616.0,False
2018-09-13 05:05:30,5615.0,False
2018-09-13 05:11:13,5614.0,False
2018-09-13 05:16:57,5612.0,False
2018-09-13 05:22:40,5613.0,False
2018-09-13 05:28:23,5615.0,False
2018-09-13 05:34:06,5611.0,False
2018-09-13 05:39:50,5615.0,False
2018-09-13 05:45:33,5614.0,False
2018-09-13 05:51:17,5614.0,False
2018-09-13 05:57:00,5613.0,False
2018-09-13 06:02:43,5613.0,False
2018-09-13 06:08:26,5616.0,False
2018-09-13 06:14:08,5616.0,False
2018-09-13 06:20:06,5617.0,False
2018-09-13 06:25:49,5615.0,False
2018-09-13 06:31:33,5615.0,False
2018-09-13 06:37:16,5616.0,False
2018-09-13 06:42:59,5617.0,False
2018-09-13 06:48:43,5616.0,False
2018-09-13 06:54:27,5619.0,False
2018-09-13 07:00:11,5619.0,False
2018-09-13 07:05:56,5616.0,False
2018-09-13 07:11:48,5618.0,False
2018-09-13 07:17:32,5618.0,False
2018-09-13 07:23:15,5619.0,False
2018-09-13 07:34:42,5622.0,False
2018-09-13 07:40:25,5620.0,False
2018-09-13 07:46:08,5619.0,False
2018-09-13 07:51:51,5621.0,False
